aalen, aale, aalt, aalte, aalte, aal, aalt, haben, geaalt
delogarithmieren, delogarithmiere, delogarithmiert, delogarithmierte, delogarithmierte, delogarithmiere, delogarithmiert, haben, delogarithmiert
delogieren, delogiere, delogiert, delogierte, delogierte, delogier, delogiert, haben, delogiert
demarkieren, demarkiere, demarkiert, demarkierte, demarkierte, demarkier, demarkiert, haben, demarkiert
demaskieren, demaskiere, demaskiert, demaskierte, demaskierte, demaskier, demaskiert, haben, demaskiert
dementieren, dementiere, dementiert, dementierte, dementierte, dementiere, dementiert, haben, dementiert
demineralisieren, demineralisiere, demineralisiert, demineralisierte, demineralisierte, demineralisier, demineralisiert, haben, demineralisiert
demokratisieren, demokratisiere, demokratisiert, demokratisierte, demokratisierte, demokratisier, demokratisiert, haben, demokratisiert
demolieren, demoliere, demoliert, demolierte, demolierte, demolier, demoliert, haben, demoliert
demonstrieren, demonstriere, demonstriert, demonstrierte, demonstrierte, demonstrier, demonstriert, haben, demonstriert
demontieren, demontiere, demontiert, demontierte, demontierte, demontiere, demontiert, haben, demontiert
demoralisieren, demoralisiere, demoralisiert, demoralisierte, demoralisierte, demoralisiere, demoralisiert, haben, demoralisiert
demotivieren, demotiviere, demotiviert, demotivierte, demotivierte, demotiviere, demotiviert, haben, demotiviert
demoulieren, demouliere, demouliert, demoulierte, demoulierte, demoulier, demouliert, haben, demouliert
demütigen, demütige, demütigt, demütigte, demütigte, demütige, demütigt, haben, gedemütigt
denaturieren, denaturiere, denaturiert, denaturierte, denaturierte, denaturiere, denaturiert, haben, denaturiert
dengeln, dengele, dengelt, dengelte, dengelte, dengele, dengelt, haben, gedengelt
denken, denke, denkt, dachte, dächte, denk, denkt, haben, gedacht
denominieren, denominiere, denominiert, denominierte, denominierte, denominiere, denominiert, haben, denominiert
dentelieren, denteliere, denteliert, dentelierte, dentelierte, dentelier, denteliert, haben, denteliert
denunzieren, denunziere, denunziert, denunzierte, denunzierte, denunziere, denunziert, haben, denunziert
deodorieren, deodoriere, deodoriert, deodorierte, deodorierte, deodorier, deodoriert, haben, deodoriert
depeschieren, depeschiere, depeschiert, depeschierte, depeschierte, depeschier, depeschiert, haben, depeschiert
deponieren, deponiere, deponiert, deponierte, deponierte, deponiere, deponiert, haben, deponiert
deportieren, deportiere, deportiert, deportierte, deportierte, deportiere, deportiert, haben, deportiert
depravieren, depraviere, depraviert, depravierte, depravierte, depraviere, depraviert, haben, depraviert
deprimieren, deprimiere, deprimiert, deprimierte, deprimierte, deprimiere, deprimiert, haben, deprimiert
deputieren, deputiere, deputiert, deputierte, deputierte, deputiere, deputiert, haben, deputiert
derangieren, derangiere, derangiert, derangierte, derangierte, derangiere, derangiert, haben, derangiert
derbarmen, derbarme, derbarmt, derbarmte, derbarmte, derbarm, derbarmt, haben, derbarmt
derbatzen, derbatze, derbatzt, derbatzte, derbatzte, derbatze, derbatzt, haben, derbatzt
derbeißen, derbeiße, derbeißt, derbiss, derbisse, derbeiße, derbeißt, haben, derbissen
derblecken, derblecke, derbleckt, derbleckte, derbleckte, derbleck, derbleckt, haben, derbleckt
derbremsen, derbremse, derbremst, derbremste, derbremste, derbrems, derbremst, haben, derbremst
derbröseln, derbrösele, derbröselt, derbröselte, derbröselte, derbrösele, derbröselt, haben, derbröselt
derbätzen, derbätze, derbätzt, derbätzte, derbätzte, derbätze, derbätzt, haben, derbätzt
derdürren, derdürre, derdürrt, derdürrte, derdürrte, derdürre, derdürrt, sein, derdürrt
deregulieren, dereguliere, dereguliert, deregulierte, deregulierte, deregulier, dereguliert, haben, dereguliert
derfangen, derfange, derfangt, derfing, derfinge, derfange, derfangt, haben, derfangen
derfrieren, derfriere, derfriert, derfror, derfröre, derfrier, derfriert, sein, derfroren
dergeben, dergebe, dergibt, dergab, dergäbe, dergibe, dergibt, haben, dergeben
derhungern, derhungere, derhungert, derhungerte, derhungerte, derhungere, derhungert, sein, derhungert
derivieren, deriviere, deriviert, derivierte, derivierte, deriviere, deriviert, haben, deriviert
derkemmen, derkimme, derkimmt, derkam, derkäme, derkimm, derkimmt, sein, derkemmen
derkrallen, derkralle, derkrallt, derkrallte, derkrallte, derkralle, derkrallt, haben, derkrallt
derogieren, derogiere, derogiert, derogierte, derogierte, derogiere, derogiert, haben, derogiert
dersaufen, dersaufe, dersauft, dersoff, dersöffe, dersauf!, dersauft!, haben, dersoffen
derschnaufen, derschnaufe, derschnauft, derschnaufte, derschnaufte, derschnaufe, derschnauft, haben, derschnauft
dersäufen, dersäufe, dersäuft, dersäufte, dersäufte, dersäuf!, dersäuft!, haben, dersäuft
derwischen, derwische, derwischt, derwischte, derwischte, derwische, derwischt, haben, derwischt, derwuschen
derwuzeln, derwuzele, derwuzelt, derwuzelte, derwuzelte, derwuzele, derwuzelt, haben, derwuzelt
desachalandieren, desachalandiere, desachalandiert, desachalandierte, desachalandierte, desachalandiere, desachalandiert, haben, desachalandiert
desaminieren, desaminiere, desaminiert, desaminierte, desaminierte, desaminier, desaminiert, haben, desaminiert
desavouieren, desavouiere,  desavouiert,  desavouierte, desavouierte,  desavouiere, desavouiert, haben, desavouiert
desensibilisieren, desensibilisiere, desensibilisiert, desensibilisierte, desensibilisierte, desensibilisier, desensibilisiert, haben, desensibilisiert
desertieren, desertiere, desertiert, desertierte, desertierte, desertiere, desertiert, sein, desertiert
designen, designe, designt, designte, designte, designe, designt, haben, designt
designieren, designiere, designiert, designierte, designierte, designiere, designiert, haben, designiert
desillusionieren, desillusioniere, desillusioniert, desillusionierte, desillusionierte, desillusionier, desillusioniert, haben, desillusioniert
desinfizieren, desinfiziere, desinfiziert, desinfizierte, desinfizierte, desinfizier, desinfiziert, haben, desinfiziert
desistieren, desistiere, desistiert, desistierte, desistierte, desistiere, desistiert, haben, desistiert
desodorieren, desodoriere, desodoriert, desodorierte, desodorierte, desodorier, desodoriert, haben, desodoriert
despektieren, despektiere, despektiert, despektierte, despektierte, despektiere, despektiert, haben, despektiert
destillieren, destilliere, destilliert, destillierte, destillierte, destilliere, destilliert, haben, destilliert
destruieren, destruiere, destruiert, destruierte, destruierte, destruiere, destruiert, haben, destruiert
detachieren, detachiere, detachiert, detachierte, detachierte, detachiere, detachiert, haben, detachiert
detektieren, detektiere, detektiert, detektierte, detektierte, detektier, detektiert, haben, detektiert
determinieren, determiniere, determiniert, determinierte, determinierte, determinier, determiniert, haben, determiniert
detonieren, detoniere, detoniert, detonierte, detonierte, detoniere, detoniert, sein, detoniert
deuteln, deutele, deutelt, deutelte, deutelte, deutel, deutelt, haben, gedeutelt
deuten, deute, deutet, deutete, deutete, deut, deutet, haben, gedeutet
devastieren, devastiere, devastiert, devastierte, devastierte, devastier, devastiert, haben, devastiert
devolvieren, devolviere, devolviert, devolvierte, devolvierte, devolvier, devolviert, haben, devolviert
dezentralisieren, dezentralisiere, dezentralisiert, dezentralisierte, dezentralisierte, dezentralisier, dezentralisiert, haben, dezentralisiert
dezidieren, dezidiere, dezidiert, dezidierte, dezidierte, dezidiere, dezidiert, haben, dezidiert
dezimieren, dezimiere, dezimiert, dezimierte, dezimierte, dezimiere, dezimiert, sein, dezimiert
diagnostizieren, diagnostiziere, diagnostiziert, diagnostizierte, diagnostizierte, diagnostiziere, diagnostiziert, haben, diagnostiziert
dibbeln, dibble, dibbelt, dibbelte, dibbelte, dibble, dibbelt, haben, gedibbelt
dibbern, dibbere, dibbert, dibberte, dibberte, dibbere, dibbert, haben, gedibbert
dicht machen, mache dicht, macht dicht, machte dicht, machte dicht, mach dicht, macht dicht, haben, dicht gemacht
dichten, dichte, dichtet, dichtete, dichtete, dichte, dichtet, haben, gedichtet
dichten, dichte, dichtet, dichtete, dichtete, dichte, dichtet, haben, gedichtet
dichthalten, halte dicht, hält dicht, hielt dicht, hielte dicht, halte dicht, haltet dicht, haben, dichtgehalten
dichtmachen, mache dicht, macht dicht, machte dicht, machte dicht, mach dicht, macht dicht, haben, dichtgemacht
dienen, diene, dient, diente, diente, diene, dient, haben, gedient
dienern, dienere, dienert, dienerte, dienerte, diener, dienert, haben, gedienert
dienstverpflichten, —, —, —, —, —, —, haben, dienstverpflichtet
diffamieren, diffamiere, diffamiert, diffamierte, diffamierte, diffamier, diffamiert, haben, diffamiert
differenzieren, differenziere, differenziert, differenzierte, differenzierte, differenziere, differenziert, haben, differenziert
differieren, differiere, differiert, differierte, differierte, differiere, differiert, haben, differiert
diffundieren, diffundiere, diffundiert, diffundierte, diffundierte, diffundiere, diffundiert, haben, diffundiert
digerieren, digeriere, digeriert, digerierte, digerierte, digerier, digeriert, haben, digeriert
digitalisieren, digitalisiere, digitalisiert, digitalisierte, digitalisierte, digitalisiere, digitalisiert, haben, digitalisiert
diktieren, diktiere, diktiert, diktierte, diktierte, diktiere, diktiert, haben}}, diktiert
dilatieren, dilatiere, dilatiert, dilatierte, dilatierte, dilatiere, dilatiert, haben, dilatiert
dilettieren, dilettiere, dilettiert, dilettierte, dilettierte, dilettiere, dilettiert, haben, dilettiert
diluieren, diluiere, diluiert, diluierte, diluierte, diluiere, diluiert, haben, diluiert
dimensionieren, dimensioniere, dimensioniert, dimensionierte, dimensionierte, dimensioniere, dimensioniert, haben, dimensioniert
dimmen, dimme, dimmt, dimmte, dimmte, dimm, dimmt, haben, gedimmt
dingen, dinge, dingt, dang, dänge, dinge, dingt, haben, gedungen
dinieren, diniere, diniert, dinierte, dinierte, diniere, diniert, haben, diniert
dippen, dippe, dippt, dippte, dippte, dippe, dippt, haben, gedippt
dirigieren, dirigiere, dirigiert, dirigierte, dirigierte, dirigier, dirigiert, haben, dirigiert
dirimieren, dirimiere, dirimiert, dirimierte, dirimierte, dirimiere, dirimiert, haben, dirimiert
disambiguieren, disambiguiere, disambiguiert, disambiguierte, disambiguierte, disambiguiere, disambiguiert, haben, disambiguiert
diskreditieren, diskreditiere, diskreditiert, diskreditierte, diskreditierte, diskreditiere, diskreditiert, haben, diskreditiert
diskriminieren, diskriminiere, diskriminiert, diskriminierte, diskriminierte, diskriminiere, diskriminiert, haben, diskriminiert
diskutieren, diskutiere, diskutiert, diskutierte, diskutierte, diskutier, diskutiert, haben, diskutiert
dislozieren, disloziere, disloziert, dislozierte, dislozierte, disloziere, disloziert, haben, disloziert
dispensieren, dispensiere, dispensiert, dispensierte, dispensierte, dispensiere, dispensiert, haben, dispensiert
dispergieren, dispergiere, dispergiert, dispergierte, dispergierte, dispergiere, dispergiert, haben, dispergiert
disponieren, disponiere, disponiert, disponierte, disponierte, disponiere, disponiert, haben, disponiert
disputieren, disputiere, disputiert, disputierte, disputierte, disputiere, disputiert, haben, disputiert
disqualifizieren, disqualifiziere, disqualifiziert, disqualifizierte, disqualifizierte, disqualifizier, disqualifiziert, haben, disqualifiziert
dissen, disse, disst, disste, disste, disse, disst, haben, gedisst
dissentieren, dissentiere, dissentiert, dissentierte, dissentierte, dissentiere, dissentiert, haben, dissentiert
dissertieren, dissertiere, dissertiert, dissertierte, dissertierte, dissertier, dissertiert, haben, dissertiert
distanzieren, distanziere, distanziert, distanzierte, distanzierte, distanzier, distanziert, haben, distanziert
disziplinieren, diszipliniere, diszipliniert, disziplinierte, disziplinierte, disziplinier, diszipliniert, haben, diszipliniert
ditschen, ditsche, ditscht, ditschte, ditschte, ditsch, ditscht, haben, geditscht
divergieren, divergiere, divergiert, divergierte, divergierte, divergiere, divergiert, haben, divergiert
diversifizieren, diversifiziere, diversifiziert, diversifizierte, diversifizierte, diversifiziere, diversifiziert, haben, diversifiziert
dividieren, dividiere, dividiert, dividierte, dividierte, dividiere, dividiert, haben, dividiert
doktern, doktere, doktert, dokterte, dokterte, dokter, doktert, haben, gedoktert
dokumentieren, dokumentiere, dokumentiert, dokumentierte, dokumentierte, dokumentier, dokumentiert, haben, dokumentiert
dolmetschen, dolmetsche, dolmetscht, dolmetschte, dolmetschte, dolmetsche, dolmetscht, haben, gedolmetscht
domestizieren, domestiziere, domestiziert, domestizierte, domestizierte, domestiziere, domestiziert, haben, domestiziert
dominieren, dominiere, dominiert, dominierte, dominierte, dominier, dominiert, haben, dominiert
donnern, donnere, donnert, donnerte, donnerte, donnere, donnert, haben, gedonnert
dopen, dope, dopt, dopte, dopte, dope, dopt, haben, gedopt
doppelklicken, doppelklicke, doppelklickt, doppelklickte, doppelklickte, doppelklicke, doppelklickt, haben, doppelgeklickt
doppeln, doppele, doppelt, doppelte, doppelte, doppel, doppelt, haben, gedoppelt
dorren, dorre, dorrt, dorrte, dorrte, dorre, dorrt, sein, gedorrt
dosieren, dosiere, dosiert, dosierte, dosierte, dosier, dosiert, haben, dosiert
dotieren, dotiere, dotiert, dotierte, dotierte, dotiere, dotiert, haben, dotiert
doubeln, double, doubelt, doubelte, doubelte, double, doubelt, haben, gedoubelt
doublieren, doubliere, doubliert, doublierte, doublierte, doublier, doubliert, haben, doubliert
downloaden, loade down, loadet down, loadete down, loadete down, loade down, loadet down, haben, downgeloadet
doxen, doxe, doxt, doxte, doxte, dox, doxt, haben, gedoxt
draften, drafte, draftet, draftete, draftete, drafte, draftet, haben, gedraftet
dragieren, dragiere, dragiert, dragierte, dragierte, dragier, dragiert, haben, dragiert
dramatisieren, dramatisiere, dramatisiert, dramatisierte, dramatisierte, dramatisiere, dramatisiert, haben, dramatisiert
drangsalieren, drangsaliere, drangsaliert, drangsalierte, drangsalierte, drangsaliere, drangsaliert, haben, drangsaliert
drankommen, komme dran, kommt dran, kam dran, käme dran, komm dran, kommt dran, sein, drangekommen
drankriegen, kriege dran, kriegt dran, kriegte dran, kriegte dran, krieg dran, kriegt dran, haben, drangekriegt
drapieren, drapiere, drapiert, drapierte, drapierte, drapiere, drapiert, haben, drapiert
draufkommen, komme drauf, kommt drauf, kam drauf, käme drauf, komm drauf, kommt drauf, sein, draufgekommen
drauflosarbeiten, arbeite drauflos, arbeitet drauflos, arbeitete drauflos, arbeitete drauflos, arbeite drauflos, arbeitet drauflos, haben, drauflosgearbeitet
drauflosfahren, fahre drauflos, fährt drauflos, fuhr drauflos, führe drauflos, fahr drauflos, fahrt drauflos, sein, drauflosgefahren
draufstellen, stelle drauf, stellt drauf, stellte drauf, stellte drauf, stell drauf, stellt drauf, haben, draufgestellt
draufstoßen, stoße drauf, stößt drauf, stieß drauf, stieße drauf, stoß drauf, stoßt drauf, haben, draufgestoßen
draufstuken, stuke drauf, stukt drauf, stukte drauf, stukte drauf, stuk drauf, stukt drauf, haben, draufgestukt
draufzahlen, zahle drauf, zahlt drauf, zahlte drauf, zahlte drauf, zahle drauf, zahlt drauf, haben, draufgezahlt
drausbringen, bringe draus, bringt draus, brachte draus, brächte draus, bring draus, bringt draus, haben, drausgebracht
drechseln, drechsle, drechselt, drechselte, drechselte, drechsle, drechselt, haben, gedrechselt
drehen, drehe, dreht, drehte, drehte, drehe, dreht, haben, gedreht
dreiteilen, dreiteile, dreiteilt, dreiteilte, dreiteilte, dreiteil, dreiteilt, haben, dreigeteilt
dremmeln, dremmle, dremmelt, dremmelte, dremmelte, dremmel, dremmelt, haben, gedremmelt
dreschen, dresche, drischt, drosch, drösche, drisch, drescht, haben, gedroschen
